Files already downloaded and verified
Files already downloaded and verified
Saving  mask (task#:0)
Task: 0 Train Epoch: 32 [0/5000 (0%)]	Loss: 0.395980
Task: 0 Train Epoch: 32 [1280/5000 (25%)]	Loss: 0.452299
Task: 0 Train Epoch: 32 [2560/5000 (50%)]	Loss: 0.508325
Task: 0 Train Epoch: 32 [3840/5000 (75%)]	Loss: 0.513417
Task: 0   Test set: Avg. loss: 0.0007, Accuracy: 757/1000(76%)

Task: 0 Train Epoch: 33 [0/5000 (0%)]	Loss: 0.471118
Task: 0 Train Epoch: 33 [1280/5000 (25%)]	Loss: 0.497885
Task: 0 Train Epoch: 33 [2560/5000 (50%)]	Loss: 0.397733
Task: 0 Train Epoch: 33 [3840/5000 (75%)]	Loss: 0.392403
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 760/1000(76%)

Task: 0 Train Epoch: 34 [0/5000 (0%)]	Loss: 0.407825
Task: 0 Train Epoch: 34 [1280/5000 (25%)]	Loss: 0.343223
Task: 0 Train Epoch: 34 [2560/5000 (50%)]	Loss: 0.431496
Task: 0 Train Epoch: 34 [3840/5000 (75%)]	Loss: 0.398639
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 743/1000(74%)

Task: 0 Train Epoch: 35 [0/5000 (0%)]	Loss: 0.342069
Task: 0 Train Epoch: 35 [1280/5000 (25%)]	Loss: 0.571598
Task: 0 Train Epoch: 35 [2560/5000 (50%)]	Loss: 0.594062
Task: 0 Train Epoch: 35 [3840/5000 (75%)]	Loss: 0.435215
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 758/1000(76%)

Task: 0 Train Epoch: 36 [0/5000 (0%)]	Loss: 0.438840
Task: 0 Train Epoch: 36 [1280/5000 (25%)]	Loss: 0.322322
Task: 0 Train Epoch: 36 [2560/5000 (50%)]	Loss: 0.460403
Task: 0 Train Epoch: 36 [3840/5000 (75%)]	Loss: 0.399527
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 757/1000(76%)

Task: 0 Train Epoch: 37 [0/5000 (0%)]	Loss: 0.370412
Task: 0 Train Epoch: 37 [1280/5000 (25%)]	Loss: 0.276936
Task: 0 Train Epoch: 37 [2560/5000 (50%)]	Loss: 0.369204
Task: 0 Train Epoch: 37 [3840/5000 (75%)]	Loss: 0.368363
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 761/1000(76%)

Task: 0 Train Epoch: 38 [0/5000 (0%)]	Loss: 0.348503
Task: 0 Train Epoch: 38 [1280/5000 (25%)]	Loss: 0.500951
Task: 0 Train Epoch: 38 [2560/5000 (50%)]	Loss: 0.440979
Task: 0 Train Epoch: 38 [3840/5000 (75%)]	Loss: 0.319510
Task: 0   Test set: Avg. loss: 0.0010, Accuracy: 722/1000(72%)

Task: 0 Train Epoch: 39 [0/5000 (0%)]	Loss: 0.484611
Task: 0 Train Epoch: 39 [1280/5000 (25%)]	Loss: 0.497207
Task: 0 Train Epoch: 39 [2560/5000 (50%)]	Loss: 0.457810
Task: 0 Train Epoch: 39 [3840/5000 (75%)]	Loss: 0.395551
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 752/1000(75%)

Task: 0 Train Epoch: 40 [0/5000 (0%)]	Loss: 0.415605
Task: 0 Train Epoch: 40 [1280/5000 (25%)]	Loss: 0.377067
Task: 0 Train Epoch: 40 [2560/5000 (50%)]	Loss: 0.306897
Task: 0 Train Epoch: 40 [3840/5000 (75%)]	Loss: 0.381025
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 772/1000(77%)

Task: 0 Train Epoch: 41 [0/5000 (0%)]	Loss: 0.430940
Task: 0 Train Epoch: 41 [1280/5000 (25%)]	Loss: 0.282100
Task: 0 Train Epoch: 41 [2560/5000 (50%)]	Loss: 0.212934
Task: 0 Train Epoch: 41 [3840/5000 (75%)]	Loss: 0.448219
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 766/1000(77%)

Task: 0 Train Epoch: 42 [0/5000 (0%)]	Loss: 0.199009
Task: 0 Train Epoch: 42 [1280/5000 (25%)]	Loss: 0.251108
Task: 0 Train Epoch: 42 [2560/5000 (50%)]	Loss: 0.203523
Task: 0 Train Epoch: 42 [3840/5000 (75%)]	Loss: 0.314433
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 751/1000(75%)

Task: 0 Train Epoch: 43 [0/5000 (0%)]	Loss: 0.416808
Task: 0 Train Epoch: 43 [1280/5000 (25%)]	Loss: 0.356447
Task: 0 Train Epoch: 43 [2560/5000 (50%)]	Loss: 0.232932
Task: 0 Train Epoch: 43 [3840/5000 (75%)]	Loss: 0.237734
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 759/1000(76%)

Task: 0 Train Epoch: 44 [0/5000 (0%)]	Loss: 0.342980
Task: 0 Train Epoch: 44 [1280/5000 (25%)]	Loss: 0.314994
Task: 0 Train Epoch: 44 [2560/5000 (50%)]	Loss: 0.322391
Task: 0 Train Epoch: 44 [3840/5000 (75%)]	Loss: 0.354381
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 774/1000(77%)

Task: 0 Train Epoch: 45 [0/5000 (0%)]	Loss: 0.216327
Task: 0 Train Epoch: 45 [1280/5000 (25%)]	Loss: 0.341349
Task: 0 Train Epoch: 45 [2560/5000 (50%)]	Loss: 0.283949
Task: 0 Train Epoch: 45 [3840/5000 (75%)]	Loss: 0.250308
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 777/1000(78%)

Task: 0 Train Epoch: 46 [0/5000 (0%)]	Loss: 0.201561
Task: 0 Train Epoch: 46 [1280/5000 (25%)]	Loss: 0.338331
Task: 0 Train Epoch: 46 [2560/5000 (50%)]	Loss: 0.239427
Task: 0 Train Epoch: 46 [3840/5000 (75%)]	Loss: 0.283624
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 756/1000(76%)

Task: 0 Train Epoch: 47 [0/5000 (0%)]	Loss: 0.295739
Task: 0 Train Epoch: 47 [1280/5000 (25%)]	Loss: 0.231048
Task: 0 Train Epoch: 47 [2560/5000 (50%)]	Loss: 0.231432
Task: 0 Train Epoch: 47 [3840/5000 (75%)]	Loss: 0.338445
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 765/1000(76%)

Task: 0 Train Epoch: 48 [0/5000 (0%)]	Loss: 0.300350
Task: 0 Train Epoch: 48 [1280/5000 (25%)]	Loss: 0.248648
Task: 0 Train Epoch: 48 [2560/5000 (50%)]	Loss: 0.388462
Task: 0 Train Epoch: 48 [3840/5000 (75%)]	Loss: 0.196674
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 778/1000(78%)

Task: 0 Train Epoch: 49 [0/5000 (0%)]	Loss: 0.301824
Task: 0 Train Epoch: 49 [1280/5000 (25%)]	Loss: 0.171078
Task: 0 Train Epoch: 49 [2560/5000 (50%)]	Loss: 0.273911
Task: 0 Train Epoch: 49 [3840/5000 (75%)]	Loss: 0.231067
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 775/1000(78%)

Task: 0 Train Epoch: 50 [0/5000 (0%)]	Loss: 0.309886
Task: 0 Train Epoch: 50 [1280/5000 (25%)]	Loss: 0.404246
Task: 0 Train Epoch: 50 [2560/5000 (50%)]	Loss: 0.206313
Task: 0 Train Epoch: 50 [3840/5000 (75%)]	Loss: 0.200670
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 765/1000(76%)

Task: 0 Train Epoch: 51 [0/5000 (0%)]	Loss: 0.217072
Task: 0 Train Epoch: 51 [1280/5000 (25%)]	Loss: 0.323998
Task: 0 Train Epoch: 51 [2560/5000 (50%)]	Loss: 0.392943
Task: 0 Train Epoch: 51 [3840/5000 (75%)]	Loss: 0.207223
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 769/1000(77%)

Task: 0 Train Epoch: 52 [0/5000 (0%)]	Loss: 0.265756
Task: 0 Train Epoch: 52 [1280/5000 (25%)]	Loss: 0.332838
Task: 0 Train Epoch: 52 [2560/5000 (50%)]	Loss: 0.185655
Task: 0 Train Epoch: 52 [3840/5000 (75%)]	Loss: 0.164925
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 769/1000(77%)

Task: 0 Train Epoch: 53 [0/5000 (0%)]	Loss: 0.192954
Task: 0 Train Epoch: 53 [1280/5000 (25%)]	Loss: 0.383466
Task: 0 Train Epoch: 53 [2560/5000 (50%)]	Loss: 0.342191
Task: 0 Train Epoch: 53 [3840/5000 (75%)]	Loss: 0.175589
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 776/1000(78%)

Task: 0 Train Epoch: 54 [0/5000 (0%)]	Loss: 0.229242
Task: 0 Train Epoch: 54 [1280/5000 (25%)]	Loss: 0.180289
Task: 0 Train Epoch: 54 [2560/5000 (50%)]	Loss: 0.279481
Task: 0 Train Epoch: 54 [3840/5000 (75%)]	Loss: 0.214247
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 761/1000(76%)

Task: 0 Train Epoch: 55 [0/5000 (0%)]	Loss: 0.270708
Task: 0 Train Epoch: 55 [1280/5000 (25%)]	Loss: 0.202099
Task: 0 Train Epoch: 55 [2560/5000 (50%)]	Loss: 0.174546
Task: 0 Train Epoch: 55 [3840/5000 (75%)]	Loss: 0.189320
Task: 0   Test set: Avg. loss: 0.0010, Accuracy: 771/1000(77%)

Task: 0 Train Epoch: 56 [0/5000 (0%)]	Loss: 0.127253
Task: 0 Train Epoch: 56 [1280/5000 (25%)]	Loss: 0.301442
Task: 0 Train Epoch: 56 [2560/5000 (50%)]	Loss: 0.206085
Task: 0 Train Epoch: 56 [3840/5000 (75%)]	Loss: 0.205332
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 762/1000(76%)

Task: 0 Train Epoch: 57 [0/5000 (0%)]	Loss: 0.304529
Task: 0 Train Epoch: 57 [1280/5000 (25%)]	Loss: 0.264491
Task: 0 Train Epoch: 57 [2560/5000 (50%)]	Loss: 0.203900
Task: 0 Train Epoch: 57 [3840/5000 (75%)]	Loss: 0.190703
Task: 0   Test set: Avg. loss: 0.0011, Accuracy: 754/1000(75%)

Task: 0 Train Epoch: 58 [0/5000 (0%)]	Loss: 0.319342
Task: 0 Train Epoch: 58 [1280/5000 (25%)]	Loss: 0.171934
Task: 0 Train Epoch: 58 [2560/5000 (50%)]	Loss: 0.127578
Task: 0 Train Epoch: 58 [3840/5000 (75%)]	Loss: 0.200593
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 777/1000(78%)

Task: 0 Train Epoch: 59 [0/5000 (0%)]	Loss: 0.139917
Task: 0 Train Epoch: 59 [1280/5000 (25%)]	Loss: 0.221103
Task: 0 Train Epoch: 59 [2560/5000 (50%)]	Loss: 0.090170
Task: 0 Train Epoch: 59 [3840/5000 (75%)]	Loss: 0.191578
Task: 0   Test set: Avg. loss: 0.0010, Accuracy: 762/1000(76%)

Task: 0 Train Epoch: 60 [0/5000 (0%)]	Loss: 0.129472
Task: 0 Train Epoch: 60 [1280/5000 (25%)]	Loss: 0.142879
Task: 0 Train Epoch: 60 [2560/5000 (50%)]	Loss: 0.130600
Task: 0 Train Epoch: 60 [3840/5000 (75%)]	Loss: 0.127121
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 786/1000(79%)

Task: 0 Train Epoch: 61 [0/5000 (0%)]	Loss: 0.129876
Task: 0 Train Epoch: 61 [1280/5000 (25%)]	Loss: 0.108778
Task: 0 Train Epoch: 61 [2560/5000 (50%)]	Loss: 0.104198
Task: 0 Train Epoch: 61 [3840/5000 (75%)]	Loss: 0.161230
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 782/1000(78%)

Task: 0 Train Epoch: 62 [0/5000 (0%)]	Loss: 0.097881
Task: 0 Train Epoch: 62 [1280/5000 (25%)]	Loss: 0.139799
Task: 0 Train Epoch: 62 [2560/5000 (50%)]	Loss: 0.098304
Task: 0 Train Epoch: 62 [3840/5000 (75%)]	Loss: 0.107617
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 780/1000(78%)

Task: 0 Train Epoch: 63 [0/5000 (0%)]	Loss: 0.082075
Task: 0 Train Epoch: 63 [1280/5000 (25%)]	Loss: 0.066420
Task: 0 Train Epoch: 63 [2560/5000 (50%)]	Loss: 0.083340
Task: 0 Train Epoch: 63 [3840/5000 (75%)]	Loss: 0.086161
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 787/1000(79%)

Task: 0 Train Epoch: 64 [0/5000 (0%)]	Loss: 0.061007
Task: 0 Train Epoch: 64 [1280/5000 (25%)]	Loss: 0.060636
Task: 0 Train Epoch: 64 [2560/5000 (50%)]	Loss: 0.092553
Task: 0 Train Epoch: 64 [3840/5000 (75%)]	Loss: 0.070973
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 776/1000(78%)

Task: 0 Train Epoch: 65 [0/5000 (0%)]	Loss: 0.061614
Task: 0 Train Epoch: 65 [1280/5000 (25%)]	Loss: 0.103877
Task: 0 Train Epoch: 65 [2560/5000 (50%)]	Loss: 0.121509
Task: 0 Train Epoch: 65 [3840/5000 (75%)]	Loss: 0.093068
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 789/1000(79%)

Task: 0 Train Epoch: 66 [0/5000 (0%)]	Loss: 0.054857
Task: 0 Train Epoch: 66 [1280/5000 (25%)]	Loss: 0.050383
Task: 0 Train Epoch: 66 [2560/5000 (50%)]	Loss: 0.123087
Task: 0 Train Epoch: 66 [3840/5000 (75%)]	Loss: 0.069015
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 785/1000(78%)

Task: 0 Train Epoch: 67 [0/5000 (0%)]	Loss: 0.120527
Task: 0 Train Epoch: 67 [1280/5000 (25%)]	Loss: 0.039150
Task: 0 Train Epoch: 67 [2560/5000 (50%)]	Loss: 0.089700
Task: 0 Train Epoch: 67 [3840/5000 (75%)]	Loss: 0.108888
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 788/1000(79%)

Task: 0 Train Epoch: 68 [0/5000 (0%)]	Loss: 0.149468
Task: 0 Train Epoch: 68 [1280/5000 (25%)]	Loss: 0.059817
Task: 0 Train Epoch: 68 [2560/5000 (50%)]	Loss: 0.059774
Task: 0 Train Epoch: 68 [3840/5000 (75%)]	Loss: 0.070645
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 782/1000(78%)

Task: 0 Train Epoch: 69 [0/5000 (0%)]	Loss: 0.132167
Task: 0 Train Epoch: 69 [1280/5000 (25%)]	Loss: 0.071962
Task: 0 Train Epoch: 69 [2560/5000 (50%)]	Loss: 0.119035
Task: 0 Train Epoch: 69 [3840/5000 (75%)]	Loss: 0.110166
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 783/1000(78%)

Task: 0 Train Epoch: 70 [0/5000 (0%)]	Loss: 0.079559
Task: 0 Train Epoch: 70 [1280/5000 (25%)]	Loss: 0.085328
Task: 0 Train Epoch: 70 [2560/5000 (50%)]	Loss: 0.046097
Task: 0 Train Epoch: 70 [3840/5000 (75%)]	Loss: 0.073545
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 787/1000(79%)

Task: 0 Train Epoch: 71 [0/5000 (0%)]	Loss: 0.054297
