Files already downloaded and verified
Files already downloaded and verified
Saving  mask (task#:0)
Task: 0 Train Epoch: 26 [2560/5000 (50%)]	Loss: 0.746761
Task: 0 Train Epoch: 26 [3840/5000 (75%)]	Loss: 0.676106
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 740/1000(74%)

Task: 0 Train Epoch: 27 [0/5000 (0%)]	Loss: 0.535335
Task: 0 Train Epoch: 27 [1280/5000 (25%)]	Loss: 0.714623
Task: 0 Train Epoch: 27 [2560/5000 (50%)]	Loss: 0.600071
Task: 0 Train Epoch: 27 [3840/5000 (75%)]	Loss: 0.476000
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 742/1000(74%)

Task: 0 Train Epoch: 28 [0/5000 (0%)]	Loss: 0.519247
Task: 0 Train Epoch: 28 [1280/5000 (25%)]	Loss: 0.671618
Task: 0 Train Epoch: 28 [2560/5000 (50%)]	Loss: 0.607058
Task: 0 Train Epoch: 28 [3840/5000 (75%)]	Loss: 0.542318
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 738/1000(74%)

Task: 0 Train Epoch: 29 [0/5000 (0%)]	Loss: 0.609374
Task: 0 Train Epoch: 29 [1280/5000 (25%)]	Loss: 0.641412
Task: 0 Train Epoch: 29 [2560/5000 (50%)]	Loss: 0.646475
Task: 0 Train Epoch: 29 [3840/5000 (75%)]	Loss: 0.660544
Task: 0   Test set: Avg. loss: 0.0007, Accuracy: 743/1000(74%)

Task: 0 Train Epoch: 30 [0/5000 (0%)]	Loss: 0.570265
Task: 0 Train Epoch: 30 [1280/5000 (25%)]	Loss: 0.583240
Task: 0 Train Epoch: 30 [2560/5000 (50%)]	Loss: 0.675703
Task: 0 Train Epoch: 30 [3840/5000 (75%)]	Loss: 0.631098
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 745/1000(74%)

Task: 0 Train Epoch: 31 [0/5000 (0%)]	Loss: 0.558690
Task: 0 Train Epoch: 31 [1280/5000 (25%)]	Loss: 0.523954
Task: 0 Train Epoch: 31 [2560/5000 (50%)]	Loss: 0.548301
Task: 0 Train Epoch: 31 [3840/5000 (75%)]	Loss: 0.562440
Task: 0   Test set: Avg. loss: 0.0007, Accuracy: 760/1000(76%)

Task: 0 Train Epoch: 32 [0/5000 (0%)]	Loss: 0.390922
Task: 0 Train Epoch: 32 [1280/5000 (25%)]	Loss: 0.513924
Task: 0 Train Epoch: 32 [2560/5000 (50%)]	Loss: 0.599403
Task: 0 Train Epoch: 32 [3840/5000 (75%)]	Loss: 0.504397
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 751/1000(75%)

Task: 0 Train Epoch: 33 [0/5000 (0%)]	Loss: 0.509455
Task: 0 Train Epoch: 33 [1280/5000 (25%)]	Loss: 0.522307
