Files already downloaded and verified
Files already downloaded and verified
Saving  mask (task#:0)
Task: 0 Train Epoch: 23 [3840/5000 (75%)]	Loss: 0.388997
Task: 0   Test set: Avg. loss: 0.0007, Accuracy: 772/1000(77%)

Task: 0 Train Epoch: 24 [0/5000 (0%)]	Loss: 0.515489
Task: 0 Train Epoch: 24 [1280/5000 (25%)]	Loss: 0.531719
Task: 0 Train Epoch: 24 [2560/5000 (50%)]	Loss: 0.399890
Task: 0 Train Epoch: 24 [3840/5000 (75%)]	Loss: 0.564430
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 741/1000(74%)

Task: 0 Train Epoch: 25 [0/5000 (0%)]	Loss: 0.574333
Task: 0 Train Epoch: 25 [1280/5000 (25%)]	Loss: 0.377220
Task: 0 Train Epoch: 25 [2560/5000 (50%)]	Loss: 0.513319
Task: 0 Train Epoch: 25 [3840/5000 (75%)]	Loss: 0.490557
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 750/1000(75%)

Task: 0 Train Epoch: 26 [0/5000 (0%)]	Loss: 0.454727
Task: 0 Train Epoch: 26 [1280/5000 (25%)]	Loss: 0.445213
Task: 0 Train Epoch: 26 [2560/5000 (50%)]	Loss: 0.587569
Task: 0 Train Epoch: 26 [3840/5000 (75%)]	Loss: 0.464974
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 754/1000(75%)

Task: 0 Train Epoch: 27 [0/5000 (0%)]	Loss: 0.351573
Task: 0 Train Epoch: 27 [1280/5000 (25%)]	Loss: 0.402396
Task: 0 Train Epoch: 27 [2560/5000 (50%)]	Loss: 0.358641
Task: 0 Train Epoch: 27 [3840/5000 (75%)]	Loss: 0.376384
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 772/1000(77%)

Task: 0 Train Epoch: 28 [0/5000 (0%)]	Loss: 0.471491
Task: 0 Train Epoch: 28 [1280/5000 (25%)]	Loss: 0.499282
Task: 0 Train Epoch: 28 [2560/5000 (50%)]	Loss: 0.522987
Task: 0 Train Epoch: 28 [3840/5000 (75%)]	Loss: 0.287188
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 761/1000(76%)

Task: 0 Train Epoch: 29 [0/5000 (0%)]	Loss: 0.462277
Task: 0 Train Epoch: 29 [1280/5000 (25%)]	Loss: 0.367399
Task: 0 Train Epoch: 29 [2560/5000 (50%)]	Loss: 0.312168
Task: 0 Train Epoch: 29 [3840/5000 (75%)]	Loss: 0.452297
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 752/1000(75%)

Task: 0 Train Epoch: 30 [0/5000 (0%)]	Loss: 0.328076
Task: 0 Train Epoch: 30 [1280/5000 (25%)]	Loss: 0.403139
Task: 0 Train Epoch: 30 [2560/5000 (50%)]	Loss: 0.448240
Task: 0 Train Epoch: 30 [3840/5000 (75%)]	Loss: 0.300764
Task: 0   Test set: Avg. loss: 0.0007, Accuracy: 780/1000(78%)

Task: 0 Train Epoch: 31 [0/5000 (0%)]	Loss: 0.326693
Task: 0 Train Epoch: 31 [1280/5000 (25%)]	Loss: 0.342718
Task: 0 Train Epoch: 31 [2560/5000 (50%)]	Loss: 0.354673
